recommendationid,language,voted_up,is_negative,review,review_clean,created_at,updated_at,review_date,review_year,review_month,author.steamid,author.num_games_owned,author.num_reviews
224373560,schinese,FALSE,TRUE,端下去，史吃不下,端下去 史吃不下,2026-04-29T18:11:23Z,2026-04-29T18:11:23Z,2026-04-29,2026,2026-04,76561198336024176,0,4
224372065,schinese,TRUE,FALSE,刚通完本体现在已经开始打历战了，听说游戏本体内容已经更新完了，整体下来我是比较满足的（除了珠子系统有点恶心）,刚通完本体现在已经开始打历战了 听说游戏本体内容已经更新完了 整体下来我是比较满足的 除了珠子系统有点恶心,2026-04-29T17:47:47Z,2026-04-29T17:47:47Z,2026-04-29,2026,2026-04,76561198373971232,0,3
224365063,schinese,TRUE,FALSE,第一步怪猎作品，很好玩，手感很独特，有成就感，就是画质没特别经验 要靠插帧,第一步怪猎作品 很好玩 手感很独特 有成就感 就是画质没特别经验 要靠插帧,2026-04-29T15:58:06Z,2026-04-29T15:58:06Z,2026-04-29,2026,2026-04,76561199861418208,15,2
224353717,schinese,FALSE,TRUE,垃圾优化,垃圾优化,2026-04-29T12:51:45Z,2026-04-29T12:51:45Z,2026-04-29,2026,2026-04,76561198795439680,79,3
224346430,schinese,TRUE,FALSE,看了一上午旅人，我看荒野也是眉清目秀的啊,看了一上午旅人 我看荒野也是眉清目秀的啊,2026-04-29T10:03:31Z,2026-04-29T10:03:31Z,2026-04-29,2026,2026-04,76561198853428512,41,1
224341203,schinese,TRUE,FALSE,噢我的上帝啊 跟腾讯旅人比起来就像个纯良一样（优化除外）,噢我的上帝啊 跟腾讯旅人比起来就像个纯良一样 优化除外,2026-04-29T07:45:42Z,2026-04-29T07:45:42Z,2026-04-29,2026,2026-04,76561198200099024,0,10
224331601,schinese,FALSE,TRUE,挺好玩的，但是这个终盘要刷巨戟龙这种是不是有点太变态了,挺好玩的 但是这个终盘要刷巨戟龙这种是不是有点太变态了,2026-04-29T03:29:21Z,2026-04-29T03:29:21Z,2026-04-29,2026,2026-04,76561199865787760,37,5
224327382,schinese,FALSE,TRUE,没啥好说的,没啥好说的,2026-04-29T01:55:10Z,2026-04-29T01:55:10Z,2026-04-29,2026,2026-04,76561199108836608,75,9
224294530,schinese,FALSE,TRUE,这事实啊,这事实啊,2026-04-28T16:26:40Z,2026-04-28T16:26:40Z,2026-04-28,2026,2026-04,76561198144373552,0,4
224293038,schinese,TRUE,FALSE,二月份优化后已经没有闪退的情况了，总之光影还是很喜欢的，但是上位的剧情过于简介，游戏性还可以，武器也很不错，可玩性很高！期待dlc！,二月份优化后已经没有闪退的情况了 总之光影还是很喜欢的 但是上位的剧情过于简介 游戏性还可以 武器也很不错 可玩性很高 期待dlc,2026-04-28T16:06:18Z,2026-04-28T16:06:18Z,2026-04-28,2026,2026-04,76561199222112704,38,4
224291629,schinese,TRUE,FALSE,画质挺好，玩法比世界有意思,画质挺好 玩法比世界有意思,2026-04-28T15:46:20Z,2026-04-28T15:46:20Z,2026-04-28,2026,2026-04,76561198846644592,0,31
224289046,schinese,FALSE,TRUE,屎一样的优化,屎一样的优化,2026-04-28T15:10:59Z,2026-04-28T15:10:59Z,2026-04-28,2026,2026-04,76561198980408064,0,1
224282547,schinese,FALSE,TRUE,十星沼喷龙设计师是从粪坑里面长大的？一个奇丑无比、无人问津的垃圾怪设计的比最终BOSS还难，打个英雄之证都没那么难受。,十星沼喷龙设计师是从粪坑里面长大的 一个奇丑无比 无人问津的垃圾怪设计的比最终boss还难 打个英雄之证都没那么难受,2026-04-28T13:43:04Z,2026-04-28T13:43:04Z,2026-04-28,2026,2026-04,76561198337720048,55,4
224259149,schinese,FALSE,TRUE,傻逼游戏天天闪退玩牛魔,傻逼游戏天天闪退玩牛魔,2026-04-28T04:36:03Z,2026-04-28T04:36:03Z,2026-04-28,2026,2026-04,76561198811337360,312,21
224253214,schinese,TRUE,FALSE,可以的，虽然刚开始是依托，但是更新完之后还是可以的,可以的 虽然刚开始是依托 但是更新完之后还是可以的,2026-04-28T01:51:26Z,2026-04-28T01:51:26Z,2026-04-28,2026,2026-04,76561199871631744,0,1
