review_week,total_reviews,negative_reviews,positive_reviews,negative_rate
2025-09-29,699,641,58,0.9170243204577968
2025-10-06,253,222,31,0.8774703557312253
2025-10-13,88,73,15,0.8295454545454546
2025-10-20,104,85,19,0.8173076923076923
2025-10-27,91,74,17,0.8131868131868132
2025-11-03,86,70,16,0.813953488372093
2025-11-10,93,69,24,0.7419354838709677
2025-11-17,66,56,10,0.8484848484848485
2025-11-24,439,227,212,0.5170842824601367
2025-12-01,104,71,33,0.6826923076923077
2025-12-08,116,97,19,0.8362068965517241
2025-12-15,353,295,58,0.8356940509915014
2025-12-22,212,166,46,0.78301886792452835
2025-12-29,170,119,51,0.7
2026-01-05,117,82,35,0.7008547008547008
2026-01-12,71,53,18,0.7464788732394366
2026-01-19,57,39,18,0.6842105263157895
2026-01-26,49,36,13,0.7346938775510204
2026-02-02,32,25,7,0.78125
2026-02-09,43,33,10,0.7674418604651163
2026-02-16,160,90,70,0.5625
2026-02-23,188,118,70,0.6276595744680851
2026-03-02,113,63,50,0.5575221238938053
2026-03-09,79,53,26,0.6708860759493671
2026-03-16,63,41,22,0.6507936507936508
2026-03-23,70,42,28,0.6
2026-03-30,73,45,28,0.6164383561643836
2026-04-06,92,51,41,0.5543478260869565
2026-04-13,84,52,32,0.6190476190476191
2026-04-20,79,68,11,0.8607594936708861
2026-04-27,58,40,18,0.6896551724137931
2026-05-04,48,29,19,0.6041666666666666
2026-05-11,34,24,10,0.7058823529411765
2026-05-18,48,31,17,0.6458333333333334
2026-05-25,36,24,12,0.6666666666666666
2026-06-01,77,46,31,0.5974025974025974
2026-06-08,170,114,56,0.6705882352941176
2026-06-15,166,109,57,0.6566265060240963
2026-06-22,109,66,43,0.6055045871559633
2026-06-29,7,3,4,0.42857142857142855
